frec,errfrec,vi,vo,errvo,dt,errdt,nodo,vo/vi,errvi,fase,err_vo/vi,errfase
25.08,0.05,17.7,14,0.1,0.0014,0.0001,1.0,0.7909604519774012,0.1,0.22061520250568958,0.01,0.02
25.08,0.05,17.7,11.13,0.1,0.0029,0.0001,2.0,0.628813559322034,0.1,0.45698863376178556,0.01,0.02
25.08,0.05,17.7,9.16,0.04,0.0043,0.0001,3.0,0.5175141242937853,0.1,0.6776038362674752,0.0,0.02
25.08,0.05,17.7,7.36,0.01,0.0053,0.0001,4.0,0.41581920903954805,0.1,0.8351861237715392,0.0,0.02
25.08,0.05,17.7,5.92,0.02,0.0066,0.0001,5.0,0.3344632768361582,0.1,1.0400430975268224,0.0,0.02
25.08,0.05,17.7,4.76,0.04,0.0085,0.0001,6.0,0.2689265536723164,0.1,1.3394494437845441,0.0,0.02
25.08,0.05,17.8,3.74,0.02,0.0096,0.0001,7.0,0.2101123595505618,0.1,1.5127899600390142,0.0,0.02
25.08,0.05,17.8,2.96,0.02,0.011,0.0001,8.0,0.16629213483146066,0.1,1.7334051625447038,0.0,0.02
25.08,0.05,17.9,2.38,0.02,0.0126,0.0001,9.0,0.1329608938547486,0.1,1.9855368225512064,0.0,0.02
25.08,0.05,17.8,1.86,0.02,0.013900000000000001,0.0001,10.0,0.10449438202247191,0.1,2.19039379630649,0.0,0.02
25.08,0.05,17.8,1.48,0.02,0.0154,0.0001,11.0,0.08314606741573033,0.1,2.4267672275625856,0.0,0.02
25.08,0.05,17.9,1.23,0.01,0.0174,0.0001,12.0,0.06871508379888269,0.1,2.7419318025707136,0.0,0.02
25.08,0.05,17.8,1.08,0.01,0.0195,0.0001,13.0,0.060674157303370786,0.1,3.072854606329248,0.0,0.02
25.08,0.05,17.8,1,0.02,0.0206,0.0002,14.0,0.056179775280898875,0.1,3.2461951225837185,0.0,0.03
25.08,0.05,17.8,0.94,0.04,0.021500000000000002,0.0001,15.0,0.05280898876404494,0.1,3.388019181337376,0.0,0.02
25.08,0.05,17.8,0.936,0.02,0.0224,0.0002,16.0,0.05258426966292135,0.1,3.5298432400910333,0.0,0.03
